# time : days since 2000-01-01
# height : 1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0
# lat : -26.25,-26.25,-26.51076889038086,-26.25,-26.619718551635742,-25.578947067260742,-27.046239852905273,-27.046239852905273,-25.578947067260742
# lon : 28.125,28.125,28.125,28.0,27.5,26.25,28.125,28.125,27.5
# tas : K
# dimensions : 
# - model: 9
# - time: 1163
time,0,1,2,3,4,5,6,7,8
6741.0,9.369822,9.447779,8.870156,7.595768,5.8007355,7.8278465,7.5884876,9.274372,9.836068
6771.5,7.771244,11.272752,9.238674,8.077063,5.468232,7.1332426,9.36803,10.02856,9.902113
6802.5,11.71354,11.571804,8.431205,9.718118,9.092022,9.3941765,12.7671585,14.040814,11.508063
6833.0,13.375919,16.412828,12.690577,13.254439,12.854586,16.855473,16.558083,16.207052,14.570908
6863.5,16.80426,18.716627,16.715137,16.028511,16.55074,16.196266,16.107737,19.050234,14.573149
6894.0,19.198044,20.401125,16.367447,16.75234,17.988077,16.631008,17.38792,18.138346,17.759813
6924.5,17.499811,18.432482,18.98649,16.89579,19.856539,19.341269,17.080965,18.884699,18.856602
6955.5,17.47436,19.546843,17.730997,18.929716,20.122969,19.026186,18.789919,19.061556,20.120796
6985.0,17.558203,20.336256,17.170162,17.138779,18.846973,19.234795,18.038353,19.26044,20.551737
7014.5,16.055573,17.999426,17.111002,13.088736,16.496922,16.997246,17.030725,17.993801,17.99535
7045.0,13.181964,11.360347,15.45036,13.490601,12.2920885,13.239608,15.874554,13.499417,15.521398
7075.5,10.630838,11.275923,11.058971,11.071524,10.60033,10.904963,10.8025465,10.772381,11.920396
7106.0,5.7531223,9.616327,8.321389,10.628727,7.0745697,10.465511,6.6227283,8.331654,8.913156
7136.5,7.7982826,9.674363,8.553707,8.844671,8.049531,9.438754,9.683276,9.001948,7.6283092
7167.5,8.99302,11.120968,10.539512,11.641152,10.729046,12.556957,12.410896,13.8726015,12.33039
7198.0,14.820408,15.373583,14.799677,16.114426,16.408724,15.490604,14.912271,15.468893,15.31044
7228.5,17.417389,14.838972,16.059986,18.82859,16.882374,17.772682,14.475748,19.339052,16.416655
7259.0,16.958939,16.608889,18.080643,16.906546,15.232248,18.075191,15.881908,19.226084,18.473436
7289.5,19.3388,18.712297,18.56605,17.675728,18.812197,19.444021,17.651583,18.735804,19.160831
7320.5,17.641138,19.290525,19.335306,20.097563,18.797499,20.133547,18.19745,19.192629,19.033974
7350.0,,,19.126308,18.419083,18.161854,19.439873,,,19.466257
7350.5,17.379492,18.095839,,,,,18.052727,18.632114,
7380.5,17.502869,15.666601,17.848734,15.5199795,16.067814,16.811333,17.346613,17.2449,18.331379
7411.0,13.55083,12.819026,12.627637,14.879913,12.645421,15.14244,13.756817,13.146573,14.765935
7441.5,10.392588,9.656263,12.894054,12.949118,10.745045,11.071955,10.861873,10.177929,10.981248
7472.0,7.3272495,8.66897,6.854867,11.738987,7.716934,12.100765,7.8779163,6.8961067,8.24775
7502.5,8.636112,7.6141825,10.05331,7.922278,7.6530466,8.932925,8.791858,8.380061,8.942244
7533.5,12.330514,9.912991,11.661399,9.336007,11.963848,12.450542,10.371407,11.231793,13.531531
7564.0,15.609165,17.801897,13.660425,15.192367,12.340548,15.095463,15.033761,15.8255825,17.033707
7594.5,18.496765,17.895247,15.977161,17.264076,16.440144,19.452888,17.30308,18.744875,16.303282
7625.0,22.426682,18.050936,17.647263,19.255667,18.829111,16.854733,16.471172,18.785776,17.291674
7655.5,19.61239,16.917376,19.396372,18.549202,17.086123,20.823904,19.110872,18.948816,18.018131
7686.5,19.243097,18.094847,17.288706,17.255796,18.231306,17.611788,18.009584,20.441103,19.335762
7716.0,18.922949,19.36769,17.751156,16.497421,17.19643,17.953728,18.911797,19.06049,19.233194
7745.5,20.196503,16.07987,17.423777,15.985647,16.563908,14.907188,18.414545,18.271542,17.752308
7776.0,15.359881,14.776362,14.899549,15.153717,12.110814,12.988296,13.710796,15.37341,14.606175
7806.5,12.003458,11.925245,11.5843315,9.972647,11.14632,10.060236,12.534907,11.905132,12.824967
7837.0,8.453104,8.958765,6.7954493,9.369938,8.21373,9.809414,8.89406,7.343006,9.007882
7867.5,10.103428,10.017106,8.019741,9.239294,8.230775,8.100619,10.602313,8.437861,8.653242
7898.5,10.764932,10.314785,9.528373,13.998666,10.054455,14.01231,11.371315,11.648358,10.695533
7929.0,14.231693,16.957903,13.306299,17.537186,14.443605,15.868137,16.756447,15.91152,15.472916
7959.5,15.998199,18.911024,17.23296,20.087715,14.129719,16.014595,16.421335,17.718294,17.321074
7990.0,17.105026,21.3136,17.20723,17.164297,16.831827,18.724453,19.645153,20.00001,17.738634
8020.5,17.156305,20.13988,19.942453,18.814308,19.136202,19.705679,19.912142,19.76394,18.470066
8051.5,16.257288,18.063871,19.625193,17.574186,18.155836,18.57413,20.098726,19.337496,19.781105
8081.0,18.028631,19.981794,17.803158,19.999924,18.295826,18.114677,18.741173,20.16254,19.10673
8110.5,15.682495,17.404882,16.569773,16.560995,16.504917,16.665062,17.463617,18.76086,17.763233
8141.0,12.556323,13.619624,15.413129,14.537323,13.622014,13.038253,15.379681,14.514798,14.484319
8171.5,10.944284,10.567884,10.776165,14.068075,11.449635,12.808405,12.982539,12.42384,10.402482
8202.0,4.746958,6.8150883,7.563943,8.470341,8.32579,9.0191,9.32799,8.195881,8.448983
8232.5,8.455906,7.8252726,8.857113,8.14649,9.277192,6.225131,10.0992,9.097346,10.452436
8263.5,11.381082,11.008572,12.152915,11.338662,13.439129,11.146435,11.99247,12.784528,11.299689
8294.0,16.070347,13.567766,14.710016,15.8842,16.32718,16.696262,16.645363,18.452475,16.710922
8324.5,15.026306,17.70854,16.828022,18.746803,17.291035,19.76429,18.592508,16.526003,17.13342
8355.0,18.747849,16.506868,18.456284,16.757833,16.356516,17.629452,18.505291,19.0926,17.707201
8385.5,19.212732,21.089983,18.9033,19.130806,19.07895,18.924673,18.379,19.901361,18.124271
8416.5,19.84875,21.358885,19.596994,19.672361,18.773726,19.605776,18.813814,18.381166,18.926094
8446.0,20.235174,19.72914,19.356625,20.629593,20.058369,20.983086,17.825829,19.720707,19.050028
8475.5,18.639984,18.708654,16.805063,16.492208,17.1926,17.445702,17.463129,18.13821,18.197895
8506.0,15.391162,13.390559,13.543256,14.330353,15.055608,15.921309,14.648266,14.54733,14.520146
8536.5,13.5598545,11.649214,11.00642,10.713766,10.766407,12.540705,10.290645,11.667919,12.057664
8567.0,8.229624,11.1306095,11.481454,12.905827,8.141556,10.0187645,7.9228992,6.488697,9.111642
8597.5,7.8948708,10.734696,9.579189,6.437842,8.848939,10.815005,6.752063,8.641536,8.480421
8628.5,12.190682,9.004513,12.96807,11.041574,12.5313225,12.894268,11.365395,11.094892,12.319892
8659.0,17.288486,16.349657,17.349909,14.922011,14.787569,13.552494,16.515053,16.408133,17.273422
8689.5,18.296417,18.493574,19.147541,16.701973,15.671223,16.59153,18.440348,15.756655,17.6752
8720.0,17.761368,19.136904,18.106796,19.408804,18.206583,16.398617,16.995892,17.693064,18.603014
8750.5,19.045008,20.327806,18.974436,19.417183,17.48276,17.908133,16.807833,19.772516,18.88596
8781.5,19.168665,17.567503,19.770853,16.993406,18.79756,18.391848,18.88428,18.649172,20.48597
8811.0,,,18.029629,16.960281,18.719257,18.52694,,,19.478922
8811.5,20.096045,18.134779,,,,,19.912804,19.739323,
8841.5,18.02774,16.175756,16.965006,16.044027,15.100773,16.346,17.020624,18.127071,17.406605
8872.0,14.616412,13.54745,15.71684,14.585907,13.453771,14.3284445,14.01762,13.094296,13.615697
8902.5,10.51475,10.0706005,13.024364,10.139639,12.117603,13.975458,10.185237,10.641644,11.759843
8933.0,8.388498,5.935663,10.179696,8.93082,7.4044952,9.554165,7.5236683,7.4946785,11.108682
8963.5,9.483921,7.038316,6.4541893,8.398626,7.0784616,7.3324614,8.648791,8.049556,10.931074
8994.5,11.245309,9.00732,10.6156225,11.175698,9.568157,12.182812,11.28376,12.210401,12.146888
9025.0,14.172611,8.747606,12.372309,17.885544,14.285646,18.655857,14.351357,16.425253,15.933212
9055.5,17.434814,13.668257,18.352558,18.645607,16.272266,17.26789,15.822428,16.752993,16.543516
9086.0,17.49495,16.99454,19.473068,17.858511,17.8762,17.0621,15.440319,19.00596,18.409685
9116.5,17.383936,18.850939,20.614573,20.48597,19.654665,19.57479,17.619905,17.452356,18.954838
9147.5,17.593409,21.215178,18.80195,20.636656,18.09709,17.53879,18.149782,18.00043,18.423317
9177.0,17.986578,20.80818,18.488308,20.838516,17.239765,19.415245,17.254478,16.660465,17.913645
9206.5,16.702515,16.894995,17.351236,19.335592,17.180332,16.521263,16.072931,16.682308,17.561481
9237.0,14.417468,15.249568,13.840222,15.467529,13.520726,14.220931,13.885357,13.364072,14.300786
9267.5,10.905527,12.554914,9.815411,11.811148,10.234516,9.588129,10.085658,10.197491,10.968644
9298.0,9.393686,8.77389,5.9204493,7.895664,8.281021,9.049526,10.180101,10.030048,7.371804
9328.5,7.6668434,6.6356363,9.609798,5.4436097,9.302247,8.065005,7.1822386,8.164485,8.688551
9359.5,11.77842,12.791805,12.110892,12.998361,11.098278,8.713909,10.101021,11.912213,12.578193
9390.0,16.06934,17.477678,14.786432,17.117294,13.794924,13.762577,15.216409,15.880514,14.840134
9420.5,18.327484,18.556654,18.726704,16.28434,16.83849,16.356941,16.822123,14.958376,17.298582
9451.0,17.072311,21.441256,18.487747,18.254934,16.519846,15.888271,17.200237,17.627085,16.253069
9481.5,19.628382,21.743242,18.697336,17.743568,18.415651,17.126822,19.468813,17.389154,18.837498
9512.5,19.002588,21.296843,19.040812,17.289305,18.546553,19.60953,18.342684,17.993654,18.4318
9542.0,18.622229,22.022047,19.621243,19.142471,17.48351,18.4609,18.928612,17.729008,16.934916
9571.5,17.458282,19.155066,17.079996,17.81478,17.002048,16.829948,17.934809,16.869808,17.969837
9602.0,14.508899,13.405177,14.650647,16.009644,14.985509,15.888381,14.255444,13.009732,14.982244
9632.5,12.148264,12.495619,10.879101,10.875631,9.971302,13.961512,10.683406,11.82365,12.714433
9663.0,9.182352,10.178675,9.691537,8.301945,8.55632,9.38937,8.248949,8.3366585,11.282998
9693.5,9.199192,9.271134,9.173214,10.122992,7.0327463,9.082034,7.4338865,8.43246,9.822584
9724.5,12.99714,12.968685,10.558799,12.755807,13.467388,13.699841,11.452827,11.705121,12.86518
9755.0,16.195835,17.23659,12.50149,16.630417,14.151888,14.991215,15.851052,14.456076,19.894028
9785.5,16.118134,18.029463,15.434345,18.72651,16.378254,16.253822,18.157389,16.775057,18.879667
9816.0,18.632614,18.599459,15.796219,18.494833,14.746134,20.314663,20.162273,16.855967,20.077532
9846.5,18.446222,18.4554,19.513224,16.526924,18.809816,20.422415,20.622591,15.995478,20.010593
9877.5,20.470362,19.109343,19.276468,17.203611,16.81581,19.417269,20.168215,16.580812,19.355904
9907.0,17.135412,19.307936,18.642391,20.257645,18.154957,20.011406,19.807854,16.41779,19.792093
9936.5,15.398468,17.30393,18.14216,18.533651,14.004337,18.197777,18.353724,16.910732,17.748127
9967.0,12.294391,15.651546,14.086896,13.9496765,12.493749,12.757247,14.157696,12.734494,15.433873
9997.5,10.808451,9.627668,11.507977,10.612814,11.898182,11.432642,12.243312,11.52232,12.893235
